index,predicate
6613,payees.length==shares.length
6682,!series[sid].paused
5197,msg.sender==owner
5910,member.awardBalance>0
1456,address(this).balance>=amount
5497,b<=a
7992,spender!=address(0)
3266,sender!=address(0)
5794,b!=0
2348,bytes(params.syntheticName).length!=0
762,loanOffering.salt==0
6163,!pool6users[msg.sender].isExist
4557,SALE_MINTED_BATCH_ONE+_count<=SALE_NFT_BATCH_ONE
9787,s.entryCaller==s.owner
2259,lookup.isAvailable
7094,stakeSufficient
9559,amount<=_maxTxAmount
4052,balanceOf[_from]>=_value
6115,"IERC20(_tokenAddress).allowance(linkdropMaster,address(this))>=_tokenAmount"
856,currentAllowance>=amount
9475,uint256(oracleCount()).add(_added.length)<=MAX_ORACLE_COUNT
291,!free[msg.sender]
4643,!pausedBurn
0,_impl!=address(0)
9861,oldBalance==0
2217,newWeeklyDelayFeePerSecondPerPfc.isLessThan(1)
8742,_newOperator!=address(0)
4488,state==State.Refunding
3108,address(token).isContract()
8098,balances[msg.sender]>=_value&&totalSupply>=_value&&_value>0
169,"_msgSender()==owner||isApprovedForAll(owner,_msgSender())"
5120,hasMigrated[account]==false
5085,_initialSupply<=_maxSupply
4658,_owner==_msgSender()
7527,"IERC20(indexer.stakingToken()).approve(address(indexer),MAX_INT)"
5471,msg.sender==_owner
2067,sender!=address(0)
9211,_ethicHubTeam!=address(0)
9741,spender!=address(0)
3507,b>0
3643,_y>0
6293,"useAsCollateral||GenericLogic.balanceDecreaseAllowed(reserveAddress,msg.sender,underlyingBalance,reservesData,userConfig,reserves,reservesCount,oracle)"
937,spender!=address(0)
9168,msg.sender==owner
2137,c/a==b
7084,(b>=0&&c<=a)||(b<0&&c>a)
8715,_records[tokenIn].bound
9594,c/a==b
540,_groupSize>0
